Name,City,District,Street,Postal Address,Phone,Votes,Rating Stars,Kind,Site
Şato Restoranı,Bakı,Bakı,Binəqədi rayonu,Binəqədi rayonu,(+99412) 436-98-52,*** 1 səs,5,Azərbaycan mətbəxi,No Site
Scalini Port Baku Tower,Bakı,Səbail rayonu,Neftçilər prospekti,153 AZ1010,(+99412) 404-82-07,No Rating,4,Pizza,http://www.portbaku-dining.az
Scalini restoranı,Bakı,Yasamal rayonu,Bakıxanov küçəsi,2 AZ1000,(+99470) 598-28-50,*** 1 səs,5,Pizza,http://www.scalini.az
Schlotzsky's Azerbaijan,Bakı,Yasamal rayonu,Cəfər Cabbarlı küçəsi,11 AZ1000,(+99412) 595-83-41,No Rating,4,Fast-fud,http://www.facebook.com/Schlotzskys.Azerbaijan
Seaside Restaurant & Lounge,Bakı,Buzovna qəsəbəsi,Xəzər rayonu AZ1000,No Postal Address,(+99455) 210-66-33,No Rating,4,Restoranlar,http://www.facebook.com/SeasideRestaurantLounge
Secrets VIP Club,Bakı,Nəsimi rayonu,Əlövsət Quliyev küçəsi,127 АZ1000,(+99470) 319-07-07,No Rating,4,Restoranlar,http://www.facebook.com/pages/SECRETS-VIP-CLUB/202125719835026?sk=timeline&ref=page_internal
Segafredo Zanetti in Baku,Bakı,Nərimanov rayonu,Təbriz küçəsi,106A AZ1000,(+99412) 514-08-56,No Rating,4,Kafelər,http://www.segafredocafe.com
Segafredo Zanetti in Baku Park Bulvar,Bakı,Səbail rayonu,Neftçilər prospekti,1 AZ1000,(+99412) 598-73-03,*** 1 səs,5,Kafelər,http://www.facebook.com/SegafredoBaku/timeline
Senator Restaurant & Terrace,Bakı,Səbail rayonu,Nizami küçəsi,1/3 AZ1000,(+99412) 505-58-38,*** 2 səs,5,Restoranlar,http://www.facebook.com/pages/Senator-restaurant-terrace/255146378016288?ref=br_rs
Seven Restaurant & Lounge,Bakı,Yasamal rayonu,Bəsti Bağırova küçəsi,607/609 AZ1000,(+99412) 436-81-77,No Rating,4,Restoranlar,No Site
Sezan Restoran,Bakı,Nəsimi rayonu,Nizami küçəsi,247 AZ1000,(+99412) 493-76-64,No Rating,,Restoranlar,No Site
Shaikh Restoranı,Bakı,Səbail rayonu,Nizami küçəsi,77 AZ1000,(+99412) 493-26-17,No Rating,4,Azərbaycan mətbəxi,http://www.facebook.com/shaikh.lounge.restaurant
Sham Bulvar restoran,Bakı,Səbail rayonu,Neftçilər prospekti,44 AZ1000,(+99412) 493-89-70,*** 1 səs,5,Restoranlar,http://www.bbm-az.com
Shani Boutique & Restaurant,Bakı,Yasamal rayonu,Naxçıvani küçəsi,1 AZ1000,(+99412) 436-98-52,No Rating,4,Restoranlar,No Site
Shanli Restoran,Bakı,Nizami rayonu,Qara Qarayev prospekti,74 AZ1000,(+99412) 323-40-43,*** 2 səs,5,Türk mətbəxi,No Site
Sheraton restoranı,Bakı,Yasamal rayonu,Zahid Xəlilov küçəsi,53 AZ1000,(+99412) 510-31-25,No Rating,4,Türk mətbəxi,No Site
Sherlocks Beach,Bakı,Xəzər rayonu,Zaqulba AZ1000,No Postal Address,(+99412) 453-59-59,*** 2 səs,5,Qayıqlar,http://www.sherlocks.az
Shesh Besh restoranı,Bakı,Nərimanov rayonu,Müzəffər Nərimanov küçəsi,2058 AZ1000,(+99455) 303-00-00,No Rating,4,Azərbaycan mətbəxi,No Site
Shin Shin Çin Restoranı,Bakı,Səbail rayonu,Nizami küçəsi,90A AZ1000,(+99412) 465-20-00,No Rating,4,Asiya mətbəxi,No Site
Shir-Shir restoranı,Bakı,Binəqədi rayonu,Dərnəgül şossesi,2082 AZ1000,(+99412) 562-04-08,*** 1 səs,5,Restoranlar,No Site
Siesta Restoran,Bakı,Nərimanov rayonu,Atatürk prospekti,32 A AZ1112,(+99412) 465-94-73,*** 3 səs,5,Fast-fud,http://www.facebook.com/siestarestoranfastfood
Şirvanşah Restaurant,Bakı,Nəsimi rayonu,Salatın Əsgərova küçəsi,86 AZ1000,(+99412) 595-09-01,*** 2 səs,5,Kafelər,http://www.facebook.com/shirvanshakh
Şişli Restoranı,Bakı,Yasamal rayonu,Naxçıvani Məhəmməd İbn Hinduşah küçəsi,14 AZ1000,(+99412) 436-97-06,No Rating,4,Azərbaycan mətbəxi,http://www.6parallel.az
Sketch Restaurant & Lounge,Bakı,Səbail rayonu,Xaqani küçəsi,53 AZ1000,(+99450) 615-31-13,*** 3 səs,5,Asiya mətbəxi,http://www.facebook.com/SketchRestaurant
Sky Grill restoranı,Bakı,Azadlıq prospekti,Səbail rayonu,1B AZ1000,(+99412) 464-50-00,*** 1 səs,5,Restoranlar,No Site
Snack & Salad,Bakı,Səbail rayonu,Nizami küçəsi,96 AZ1000,(+99412) 465-20-00,No Rating,4,Restoranlar,http://www.thelandmarkhotel.az
Soba Ailəvi Restoran,Bakı,9-cu mikrorayon,Mir Cəlal küçəsi,297 AZ1000,(+99412) 568-63-64,*** 4 səs,5,İaşə xidməti (keyterinq),http://www.facebook.com/SOBA.RESTORAN
Societe Cafe,Bakı,Səbail rayonu,Niyazi küçəsi,5 AZ1000,(+99455) 599-99-33,*** 1 səs,5,Kafelər,http://www.facebook.com/societebaku
Sofra restoranı,Bakı,Ələsgər Ələkbərov küçəsi,Yasamal rayonu,12 AZ1000,(+99412) 480-31-95,No Rating,,Türk mətbəxi,No Site
Solfeggio Lounge & Club,Bakı,Yasamal rayonu,İzmir küçəsi,9,(+99450) 880-09-09,No Rating,3,Restoranlar,http://www.facebook.com/pages/Solfeggio-Lounge-Club/719087524873329?sk=timeline
Soloha restoranı,Bakı,Nəsimi rayonu,Mirəli Qaşqay küçəsi,61 AZ1000,(+99412) 440-30-31,*** 3 səs,5,Restoranlar,http://www.soloha.az
Soul Kitchen Restoranı,Bakı,Səbail rayonu,Rəsulzadə küçəsi,3 AZ1000,(+99412) 493-08-80,No Rating,4,Kafelər,http://www.facebook.com/soulkitchenbaku
Stariy Tiflis restoranı,Bakı,Bakıxanov qəsəbəsi,Sabunçu rayonu,Sülh küçəsi,(+99412) 429-49-59,No Rating,4,Gürcü mətbəxi,http://www.facebook.com/pages/Stariy-Tiflis-Pub-Restoran/819949534686948
Stingray Restoranı,Bakı,Qaradağ rayonu,Sahil qəsəbəsi,27-29  AZ1000,(+99450) 206-86-24,No Rating,4,Azərbaycan mətbəxi,http://www.facebook.com/StingrayKhazar
Sugar Lounge,Bakı,Azadlıq prospekti,Səbail rayonu,1B AZ1000,(+99412) 464-50-00,No Rating,4,Restoranlar,No Site
Suleymans Cafe,Bakı,Nərimanov rayonu,Əhməd Rəcəbli küçəsi,16A AZ1000,(+99412) 564-44-41,No Rating,4,Türk mətbəxi,http://www.facebook.com/SuleymansRestaurantCafe?fref=ts
Sultan restoranı,Bakı,Səbail rayonu,Хaqani küçəsi,84B AZ1000,(+99412) 498-88-45,No Rating,4,Azərbaycan mətbəxi,http://www.sultan.com.az
Sultan's Park Bulvar,Bakı,Səbail rayonu,Neftçilər prospekti AZ1000,No Postal Address,(+99412) 598-73-73,*** 2 səs,5,Türk mətbəxi,http://www.sultans.az
Sultan`s restoranı,Bakı,Səbail rayonu,Хaqani küçəsi,14 AZ1000,(+99412) 598-05-55,*** 2 səs,5,Türk mətbəxi,http://www.sultans.az
Sumakh restoranı,Bakı,Xətai rayonu,Xocalı prospekti,20/21 AZ1000,(+99412) 480-21-12,*** 2 səs,5,Azərbaycan mətbəxi,http://www.facebook.com/sumakh
Sürmə Restoran,Bakı,Yasamal rayonu,Şəfaət Mehdiyev küçəsi,1054 AZ1000,(+99412) 530-82-77,No Rating,4,Restoranlar,http://www.facebook.com/SurmeRestaurant/timeline
Şuşa restoranı,Bakı,Nərimanov rayonu,Xəlilbəyli küçəsi,35 AZ1008,(+99412) 496-28-85,No Rating,4,Restoranlar,No Site
Sədəf Milli Mətbəx,Bakı,Səbail rayonu,Neftçilər prospekti AZ1000,No Postal Address,(+99450) 227-30-90,No Rating,4,Azərbaycan mətbəxi,http://www.facebook.com/SadafAzerbaijan
Şəfa Balıq Evi,Bakı,Səbail rayonu,Namiq Quliyev küçəsi AZ1000,No Postal Address,(+99450) 558-40-04,*** 2 səs,5,Restoranlar,http://www.facebook.com/shefabaliqevi/timeline?ref=page_internal
Şəhzadə Restoran,Bakı,Nərimanov rayonu,Akademik Həsən Əliyev küçəsi,88 AZ1000,(+99412) 564-67-77,No Rating,4,Türk mətbəxi,http://www.sahzaderestoran.com
Şəhzadə Restoran Nərimanov m.,Bakı,Nərimanov rayonu,Təbriz küçəsi,97/49 AZ1000,(+99412) 566-35-36,*** 1 səs,5,Türk mətbəxi,http://www.sahzaderestoran.com
Şəki Restoran,Bakı,Badamdar qəsəbəsi,Səbail rayonu,Mikayıl Müşfiq küçəsi AZ1000,(+99412) 502-44-81,No Rating,4,Azərbaycan mətbəxi,http://www.facebook.com/Sheki-Restorani-432216956844280
Şəki Restoran,Bakı,Nərimanov rayonu,Əhməd Rəcəbli küçəsi,38 AZ1000,(+99412) 564-86-96,No Rating,2,Azərbaycan mətbəxi,http://www.facebook.com/Sheki-Restorani-432216956844280
Şərbət Restoranı,Bakı,Nəsimi rayonu,Mərdanov qardaşları küçəsi,18 АZ1000,(+99412) 598-14-00,No Rating,4,Restoranlar,http://www.facebook.com/pages/Şərbət/365477020255662
Tarhun Restoranı,Bakı,Nərimanov rayonu,Təbriz küçəsi,106A AZ1000,(+99455) 329-96-96,*** 5 səs,5,Azərbaycan mətbəxi,http://www.facebook.com/tarhunrestaurant?fref=nf
Tarihi Sultanahmet Köfteci,Bakı,Səbail rayonu,Abdulkərim Əlizadə küçəsi,16 AZ1000,(+99412) 493-61-93,*** 3 səs,5,Türk mətbəxi,http://www.sultanahmetkoftesi.az
Tarihi Sultanahmet Köfteci Metropark,Bakı,Nərimanov rayonu,Təbriz küçəsi,44 AZ1000,(+99412) 493-61-93,*** 2 səs,5,Türk mətbəxi,http://www.sultanahmetkoftesi.az
Tarihi Sultanahmet Köfteci Park Bulvar,Bakı,Səbail rayonu,Neftçilər prospekti,1 AZ1000,(+99412) 493-61-93,No Rating,4,Türk mətbəxi,http://www.sultanahmetkoftesi.az
Tarsus Restoran,Bakı,Səbail rayonu,Nizami küçəsi,54 AZ1000,No Phone,No Rating,,Restoranlar,No Site
Teatral 101 restoran,Bakı,Xətai rayonu,Nizami küçəsi,101 AZ1000,(+99412) 493-31-41,No Rating,,Azərbaycan mətbəxi,No Site
Teatral Club,Bakı,Nərimanov rayonu,Ceyhun Hacıbəyli küçəsi,99 AZ1110,(+99412) 441-20-63,No Rating,4,Çay evləri,No Site
Teleqüllə restoranı,Bakı,Abbaszadə küçəsi,Səbail rayonu,2 AZ1000,(+99412) 537-08-00,No Rating,4,Azərbaycan mətbəxi,http://www.telequlle.az
Teremok restoranı,Bakı,Yasamal rayonu,İnşaatçılar prospekti,3 AZ1000,(+99412) 539-17-34,No Rating,4,Restoranlar,No Site
Terminal restoranı,Bakı,Səngəçal burnu,41 km AZ1000,No Postal Address,(+99412) 446-79-97,No Rating,4,Restoranlar,No Site
Terrace Cafe & Bar,Bakı,Nərimanov rayonu,Məmməd Araz küçəsi,76 AZ1069,(+99412) 564-77-00,*** 1 səs,5,Kafelər,http://www.ramadahotelsuitesbaku.az
Terrace Garden Restoran,Bakı,Səbail rayonu,Böyük Qala küçəsi,20 AZ1000,(+99412) 437-23-05,*** 1 səs,5,Restoranlar,http://www.sultaninn.com
Testi restoranı,Bakı,Nəsimi rayonu,Azadlıq prospekti,90 AZ1000,(+99412) 440-75-00,No Rating,4,Restoranlar,No Site
The Alley Cafe,Bakı,Bilgəh qəsəbəsi,Sabunçu rayonu,Qələbə,(+99412) 565-40-00,*** 2 səs,5,Kafelər,http://www.jumeirah.com
The Brewery Restoran,Bakı,Səbail rayonu,İstiqlaliyyət küçəsi,27 AZ1000,(+99412) 437-28-68,No Rating,4,Restoranlar,No Site
The Mill Restaurant & Lounge,Bakı,Səbail rayonu,Nizami küçəsi,90A AZ1000,(+99412) 465-20-00,No Rating,4,Restoranlar,No Site
Theatre Lounge,Bakı,Səbail rayonu,Nizami küçəsi,72 AZ1001,(+99412) 598-36-46,*** 1 səs,5,Kafelər,http://www.facebook.com/pages/Theatre-Lounge/492742720736068
Theatre Lounge,Bakı,Nizami küçəsi,72 AZ1000,No Postal Address,(+99412) 598-36-46,No Rating,,Restoranlar,http://www.facebook.com/pages/Theatre-Lounge/467261800017147
Time Sports Lounge,Bakı,Səbail rayonu,Nizami küçəsi,279 AZ1000,(+99412) 496-85-54,No Rating,4,Restoranlar,http://www.facebook.com/TimeSportsLounge/timeline
Tonqal restoranı,Bakı,Nərimanov rayonu,Akademik Həsən Əliyev küçəsi,82 AZ1000,(+99412) 449-91-98,*** 2 səs,5,Azərbaycan mətbəxi,http://www.tonqal.az
Topkimi,Bakı,Nəsimi rayonu,Dilarə Əliyeva küçəsi,206 AZ1000,(+99412) 493-04-40,*** 1 səs,5,Fast-fud,http://www.facebook.com/topkimibaku/timeline
Toro Steakhouse,Bakı,Nərimanov rayonu,Atatürk prospekti AZ1000,No Postal Address,(+99451) 771-11-00,*** 3 səs,5,Restoranlar,http://www.facebook.com/torobaku
Toscana Restaurant & Catering Service,Bakı,Yasamal rayonu,Bəsti Bağırova küçəsi,12 AZ1000,(+99412) 436-80-47,*** 2 səs,5,İaşə xidməti (keyterinq),No Site
Tower Karaoke & Lounge,Bakı,Səbail rayonu,Üzeyir Hacıbəyov küçəsi,38/3 AZ1000,(+99412) 598-88-66,*** 1 səs,5,Kafelər,http://www.facebook.com/TowerClubBaku
Town Lounge,Bakı,Səbail rayonu,Хaqani küçəsi,18 AZ1000,(+99412) 598-24-97,No Rating,4,Azərbaycan mətbəxi,No Site
Trattoria L'oliva Restoranı,Bakı,Səbail rayonu,Hacı Zeynalabdin Tağıyev küçəsi,14 AZ1000,(+99412) 493-09-54,No Rating,4,Pizza,http://www.trattoria-oliva.com
Trin-Trava restoranı,Bakı,Səbail rayonu,Хaqani küçəsi,42 AZ1000,(+99450) 471-20-23,No Rating,4,Restoranlar,http://www.trin-trava.com
Türkoglu Lahmacun,Bakı,Nəsimi rayonu,Cavadxan küçəsi,38 AZ1000,(+99412) 530-18-21,No Rating,4,Türk mətbəxi,No Site
Türkoğlu Restoran,Bakı,Yasamal rayonu,Nazim Hikmət küçəsi,25 AZ1065,(+99412) 555-70-26,No Rating,4,Türk mətbəxi,http://www.facebook.com/Turkoglu.Restoran
Təam Restoranı,Bakı,Nəsimi rayonu,Nizami küçəsi,203 AZ1000,(+99455) 444-92-44,No Rating,4,Restoranlar,http://www.facebook.com/pages/T%C9%99am-Restoran/1477502055798801
Təndir restoranı,Bakı,Səbail rayonu,Kiçik Qala küçəsi,2 A AZ1000,(+99455) 214-84-00,No Rating,4,Azərbaycan mətbəxi,http://www.facebook.com/tendir1restoran
U Dali restoranı,Bakı,Nəsimi rayonu,Mirzə İbrahimbəyov küçəsi,5 AZ1000,(+99412) 594-93-56,No Rating,3,Gürcü mətbəxi,No Site
Ulduz Restoranı,Bakı,Nəsimi rayonu,Hüseyn Seyidzadə küçəsi,2A AZ1096,(+99412) 568-41-50,No Rating,4,Şadlıq evləri,No Site
Urfa Restoranı,Bakı,Xətai rayonu,Qaçaq Nəbi küçəsi,10 AZ1142,(+99412) 376-75-88,*** 1 səs,5,Türk mətbəxi,No Site
Üzük Restoranı,Bakı,Bilgəh qəsəbəsi,Sabunçu rayonu,Qələbə,(+99412) 565-40-00,No Rating,,Restoranlar,http://www.jumeirah.com
Vacare Restoran,Bakı,Xətai rayonu,Həsən Salmani küçəsi,15 AZ1095,(+99450) 367-70-00,No Rating,4,Kafelər,http://www.facebook.com/VACAREBAKU
Vapiano Baku,Bakı,Nəsimi rayonu,Üzeyir Hacıbəyov küçəsi,6/8 AZ1001,(+99412) 598-81-18,*** 4 səs,5,Restoranlar,http://www.vapiano.com/en/home/
Velluto restoranı,Bakı,Səbail rayonu,Həsən Seyidbəyli küçəsi,57 AZ1000,(+99412) 505-50-70,*** 2 səs,5,Azərbaycan mətbəxi,http://www.velluto.az
Venezia Restaurant & Cafe,Bakı,Səbail rayonu,Neftçilər prospekti AZ1000,No Postal Address,(+99450) 200-33-66,*** 1 səs,5,Kafelər,http://www.facebook.com/VeneziaRestaurantCafe
VİP Restoran,Bakı,Xətai rayonu,Yusif Səfərov küçəsi,23 A AZ1000,(+99412) 496-49-99,*** 1 səs,5,Restoranlar,http://www.crystal.az
Vista Restoranı,Bakı,Qurban Abbasov küçəsi,Səbail rayonu,7 AZ1000,(+99412) 491-02-27,*** 1 səs,5,Azərbaycan mətbəxi,http://www.crownhotelbaku.com
Wasabi,Bakı,Xətai rayonu,Xocalı prospekti,14 AZ1025,(+99412) 489-56-47,*** 4 səs,5,Asiya mətbəxi,http://www.wasabi.az
Wooden House Restoran,Bakı,Badamdar qəsəbəsi,Səbail rayonu,Leyli Məmmədbəyova küçəsi,(+99412) 502-37-36,*** 1 səs,5,Fast-fud,http://www.facebook.com/pages/Wooden-house-pub-karaoke/270289693158881?sk=timeline
Xalça restaurant & lounge,Bakı,Səbail rayonu,Mikayıl Hüseynov prospekti,28 AZ1000,(+994 12) 409-40-09,*** 2 səs,5,Restoranlar,http://www.facebook.com/xalcalounge/info?tab=overview
Xanədan Restoran,Bakı,Binəqədi rayonu,Ziya Bünyatov prospekti,43 AZ1000,(+99412) 562-14-08,*** 2 səs,5,Restoranlar,http://www.facebook.com/amkm.az
Xanədan Restoranı,Bakı,Səbail rayonu,Böyük Qala küçəsi AZ1000,No Postal Address,(+99412) 497-04-05,No Rating,4,Restoranlar,http://www.aze.c-group.az
Xurma restoranı,Bakı,Nərimanov rayonu,Ceyhun Hacıbəyli küçəsi,28 AZ1000,(+99412) 441-29-41,*** 3 səs,5,Azərbaycan mətbəxi,No Site
Xutor restoranı,Bakı,Səbail rayonu,Murtuza Muxtarov küçəsi,9/3 AZ1000,(+99412) 437-22-23,No Rating,4,Restoranlar,No Site
Xəzri Restoranı Dalğa Beach,Bakı,Mərdəkan qəsəbəsi,Xəzər rayonu,Sahil,(+99412) 565-55-35,*** 3 səs,5,Azərbaycan mətbəxi,http://www.dalgabeach.az
Yaxt Klub Kompleksi,Bakı,Səbail rayonu,Neftçilər prospekti,108 AZ1000,(+99412) 598-18-90,No Rating,4,Restoranlar,http://www.yachtclub.az
Yelkən Restoranı Dalğa Beach,Bakı,Mərdəkan qəsəbəsi,Xəzər rayonu,Sahil,(+99412) 565-55-35,No Rating,4,Azərbaycan mətbəxi,http://www.dalgabeach.az
Yeni Bakı restoranı,Bakı,Nəsimi rayonu,Dilarə Əliyeva küçəsi,251 AZ1010,(+99412) 496-81-65,*** 2 səs,5,Restoranlar,No Site
Yolki Palki Kabachok restoranı,Bakı,Səbail rayonu,Mehdi Hüseyn küçəsi,88 AZ1000,(+99412) 492-64-27,No Rating,4,Restoranlar,No Site
Yolki Palki Traktir restoranı,Bakı,Nəsimi rayonu,Mərdanov qardaşları küçəsi,15 AZ1000,(+99412) 594-24-92,No Rating,4,Restoranlar,No Site
Yurd Restoranı,Bakı,Qobustan rayonu,Bakı-Şamaxı şossesi,100 km AZ1000,(+99451) 872-30-00,No Rating,4,Azərbaycan mətbəxi,No Site
Yuukai Restaurant,Bakı,Bilgəh qəsəbəsi,Xəzər rayonu,Qələbə,(+99412) 565-40-00,*** 2 səs,5,Restoranlar,http://www.jumeirah.com
Zafferano restoranı,Bakı,Səbail rayonu,Neftçilər prospekti,1 AZ1000,(+99412) 404-24-24,*** 2 səs,5,Restoranlar,http://www.fourseasons.com
Zafo Restoran,Bakı,Yasamal rayonu,Kazım Kazımzadə küçəsi,7 AZ1000,(+99412) 541-00-74,*** 1 səs,5,Azərbaycan mətbəxi,http://www.facebook.com/pages/Zafo-restaurant-lounge/479868812156007?fref=ts
ZEST Lifestyle Cafe,Bakı,Azadlıq meydanı,Səbail rayonu,674 AZ1010,(+99412) 499-88-88,*** 1 səs,5,Kafelər,http://www.facebook.com/ZestLifestyleCafe/timeline
Zeytun Bağı Restoran,Bakı,Binəqədi rayonu,İlqar Cümşüdov küçəsi AZ1000,No Postal Address,(+99412) 565-84-84,No Rating,4,Azərbaycan mətbəxi,http://www.zeytunbagi.az
Zeytun restaurant,Bakı,Səbail rayonu,Neftçilər prospekti AZ1001,No Postal Address,(+99412) 598-74-20,No Rating,4,Azərbaycan mətbəxi,http://www.facebook.com/ZeytunBaku
Zirzəmi Restaurant & Lounge,Bakı,Yasamal rayonu,Mirzağa Əliyev küçəsi,Bül-Bül prospekti AZ1000,(+99412) 493-20-93,No Rating,4,Restoranlar,http://www.facebook.com/zirzemirestaurant/timeline
Znatniy Dvor,Bakı,Nəsimi rayonu,Əlövsət Quliyev küçəsi,131 AZ1000,(+99412) 594-14-66,*** 1 səs,5,Restoranlar,http://www.facebook.com/znatniydvor
Zoğal,Bakı,Nəsimi rayonu,Mirəli Qaşqay küçəsi,113 AZ1000,(+99412) 440-05-06,No Rating,4,Restoranlar,http://www.zogalrestaurant.az
Zümrüd Restoranı,Bakı,Nərimanov rayonu,Həsənoğlu küçəsi,15A AZ1000,(+99412) 564-25-55,*** 2 səs,5,Restoranlar,No Site
Əriştə restoranı,Bakı,Səbail rayonu,Qəzənfər Əlizadə küçəsi,6/8 AZ1005,(+99412) 498-95-09,*** 5 səs,5,Azərbaycan mətbəxi,http://www.facebook.com/pages/Əriştə/183535248391440
Zümrüd Restoranı,Bakı,Nərimanov rayonu,Həsənoğlu küçəsi,15A AZ1000,(+99412) 564-25-55,*** 2 səs,5,Restoranlar,No Site
Əriştə restoranı,Bakı,Səbail rayonu,Qəzənfər Əlizadə küçəsi,6/8 AZ1005,(+99412) 498-95-09,*** 5 səs,5,Azərbaycan mətbəxi,http://www.facebook.com/pages/Əriştə/183535248391440
Zümrüd Restoranı,Bakı,Nərimanov rayonu,Həsənoğlu küçəsi,15A AZ1000,(+99412) 564-25-55,*** 2 səs,5,Restoranlar,No Site
Əriştə restoranı,Bakı,Səbail rayonu,Qəzənfər Əlizadə küçəsi,6/8 AZ1005,(+99412) 498-95-09,*** 5 səs,5,Azərbaycan mətbəxi,http://www.facebook.com/pages/Əriştə/183535248391440
